municipalidad,anio_semestre,tipo_compra,monto_neto_clp,n_items,n_ordenes
Estación Central,2020-1,trato_directo,536375802,152,124
Estación Central,2020-2,compra_agil,6605954,70,10
Estación Central,2020-2,convenio_marco,387051212,1240,365
Estación Central,2020-2,licitacion,1575437783,22,22
Estación Central,2020-2,trato_directo,1525586214,266,238
Estación Central,2021-1,compra_agil,15170172,58,24
Estación Central,2021-1,convenio_marco,216011940,252,104
Estación Central,2021-1,licitacion,744036937,10,10
Estación Central,2021-1,trato_directo,848336771,299,211
Estación Central,2021-2,compra_agil,657834901,6599,500
Estación Central,2021-2,convenio_marco,660744685,980,262
Estación Central,2021-2,licitacion,61782374,5,5
Estación Central,2021-2,trato_directo,468061392,80,80
Estación Central,2022-1,compra_agil,510542619,5667,400
Estación Central,2022-1,convenio_marco,207630758,159,63
Estación Central,2022-1,licitacion,2985684874,502,60
Estación Central,2022-1,trato_directo,216521036,36,33
Estación Central,2022-2,convenio_marco,278353811,473,67
Estación Central,2022-2,licitacion,362266742,699,73
Estación Central,2022-2,trato_directo,390731961,56,50
Estación Central,2023-1,compra_agil,667777189,3874,541
Estación Central,2023-1,convenio_marco,442384265,513,70
Estación Central,2023-1,licitacion,581486405,59,26
Estación Central,2023-1,trato_directo,958786867,82,78
Estación Central,2023-2,compra_agil,607411976,2081,681
Estación Central,2023-2,convenio_marco,576459751,498,75
Estación Central,2023-2,licitacion,2608726856,363,71
Estación Central,2023-2,trato_directo,401182193,83,77
Estación Central,2024-1,compra_agil,538307082,1172,600
Estación Central,2024-1,convenio_marco,362244303,324,69
Estación Central,2024-1,licitacion,1011236807,113,62
Estación Central,2024-1,trato_directo,519184982,66,65
Estación Central,2024-2,compra_agil,1069412629,1860,1258
Estación Central,2024-2,convenio_marco,641313158,582,71
Estación Central,2024-2,licitacion,2286945500,210,107
Estación Central,2024-2,trato_directo,393738930,51,50
Estación Central,2025-1,compra_agil,772571609,639,393
Estación Central,2025-1,convenio_marco,424523695,344,46
Estación Central,2025-1,licitacion,3671607878,237,46
Estación Central,2025-1,trato_directo,91281226,9,9
Estación Central,2025-2,compra_agil,864087121,1108,532
Estación Central,2025-2,convenio_marco,368363102,406,48
Estación Central,2025-2,licitacion,3159335707,51,29
Estación Central,2025-2,trato_directo,37556168,7,6
Huechuraba,2015-1,convenio_marco,485717673,994,493
Huechuraba,2015-1,licitacion,2668757306,1101,195
Huechuraba,2015-1,trato_directo,451019724,110,101
Huechuraba,2015-2,convenio_marco,519152607,1398,554
