municipalidad,anio_semestre,tipo_compra,RubroN1,monto_neto_clp,n_items,n_ordenes
Cerrillos,2015-2,licitacion,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",8349830,6,6
Cerrillos,2015-2,licitacion,Servicios de construcción y mantenimiento,53264830,7,6
Cerrillos,2015-2,licitacion,Servicios de cuidado personal y domésticos,6819483,16,6
Cerrillos,2015-2,licitacion,Servicios de limpieza industrial,36000000,1,1
Cerrillos,2015-2,licitacion,Servicios de producción y fabricación industrial,80000,1,1
Cerrillos,2015-2,licitacion,"Servicios de transporte, almacenaje y correo",78240360,6,6
Cerrillos,2015-2,licitacion,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",1353711,4,4
Cerrillos,2015-2,licitacion,"Servicios financieros, pensiones y seguros",302605,2,2
Cerrillos,2015-2,licitacion,"Servicios profesionales, administrativos y consultorías de gestión empresarial",34730235,5,5
Cerrillos,2015-2,licitacion,"Tecnologías de la información, telecomunicaciones y radiodifusión",10597797,31,18
Cerrillos,2015-2,licitacion,Vehículos y equipamiento en general,5243830,21,18
Cerrillos,2015-2,trato_directo,Artículos de electrónica,42008,1,1
Cerrillos,2015-2,trato_directo,Artículos de fabricación y producción,6201114,9,2
Cerrillos,2015-2,trato_directo,"Artículos para estructuras, obras y construcciones",2315156,11,10
Cerrillos,2015-2,trato_directo,"Combustibles, lubricantes y anticorrosivos",846522,2,1
Cerrillos,2015-2,trato_directo,"Equipamiento para el acondicionamiento, distribución y filtrado de fluidos",310000,3,2
Cerrillos,2015-2,trato_directo,Equipamiento para manejo y estiba de materiales,360000,1,1
Cerrillos,2015-2,trato_directo,Equipamiento y suministros médicos,648510,2,2
Cerrillos,2015-2,trato_directo,"Equipos, accesorios y suministros de oficina",673462,5,3
Cerrillos,2015-2,trato_directo,"Equipos, suministros y accesorios deportivos y recreativos",3187787,13,9
Cerrillos,2015-2,trato_directo,Herramientas y maquinaria en general,1252512,2,1
Cerrillos,2015-2,trato_directo,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",1097119,11,5
Cerrillos,2015-2,trato_directo,Maquinaria para generación y distribución de energía,523552,4,1
Cerrillos,2015-2,trato_directo,Muebles y mobiliario,45360,1,1
Cerrillos,2015-2,trato_directo,"Muebles, accesorios, electrodomésticos y productos electrónicos",551450,3,3
Cerrillos,2015-2,trato_directo,"Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública",9159662,2,2
Cerrillos,2015-2,trato_directo,Productos de papel,437094,24,3
Cerrillos,2015-2,trato_directo,"Productos derivados de minerales, plantas y animales",99000,2,1
Cerrillos,2015-2,trato_directo,Productos impresos y publicaciones,722000,2,2
Cerrillos,2015-2,trato_directo,"Productos para relojería, joyería y gemas",18480,1,1
Cerrillos,2015-2,trato_directo,"Servicios agrícolas, pesqueros, forestales y relacionados con la fauna",79061010,1,1
Cerrillos,2015-2,trato_directo,Servicios de construcción y mantenimiento,2447869,2,1
Cerrillos,2015-2,trato_directo,"Servicios de defensa nacional, orden público y seguridad",17801102,3,2
Cerrillos,2015-2,trato_directo,Servicios de limpieza industrial,14487628,2,2
Cerrillos,2015-2,trato_directo,"Servicios de transporte, almacenaje y correo",10197394,3,3
Cerrillos,2015-2,trato_directo,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",5580690,10,7
Cerrillos,2015-2,trato_directo,"Servicios financieros, pensiones y seguros",3712576,1,1
Cerrillos,2015-2,trato_directo,"Tecnologías de la información, telecomunicaciones y radiodifusión",449000,5,2
Cerrillos,2015-2,trato_directo,Vehículos y equipamiento en general,334500,1,1
Cerrillos,2016-1,convenio_marco,"Alimentos, bebidas y tabaco",3562813,52,9
Cerrillos,2016-1,convenio_marco,Artículos de fabricación y producción,1223063,42,30
Cerrillos,2016-1,convenio_marco,Artículos eléctricos y de iluminación,11417,2,2
Cerrillos,2016-1,convenio_marco,"Artículos para estructuras, obras y construcciones",477008,2,2
Cerrillos,2016-1,convenio_marco,Artículos para plantas y animales,705387,10,6
Cerrillos,2016-1,convenio_marco,"Combustibles, lubricantes y anticorrosivos",8011588,14,7
Cerrillos,2016-1,convenio_marco,"Equipamiento para el acondicionamiento, distribución y filtrado de fluidos",827260,8,8
Cerrillos,2016-1,convenio_marco,Equipamiento para laboratorios,132540,14,14
Cerrillos,2016-1,convenio_marco,Equipamiento para manejo y estiba de materiales,1029467,7,7
Cerrillos,2016-1,convenio_marco,Equipamiento y suministros médicos,9650286,24,17
Cerrillos,2016-1,convenio_marco,"Equipos y suministros de defensa, orden público, protección y seguridad",5512972,33,22
Cerrillos,2016-1,convenio_marco,"Equipos y suministros de imprenta, fotográficos y audiovisuales",915521,4,4
Cerrillos,2016-1,convenio_marco,Equipos y suministros de limpieza,12792932,178,23
Cerrillos,2016-1,convenio_marco,"Equipos, accesorios y suministros de oficina",30813774,522,143
Cerrillos,2016-1,convenio_marco,Herramientas y maquinaria en general,225036,13,11
Cerrillos,2016-1,convenio_marco,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",1380631,78,33
Cerrillos,2016-1,convenio_marco,Maquinaria para fabricación y transformación industrial,329780,14,14
Cerrillos,2016-1,convenio_marco,Maquinaria para generación y distribución de energía,168430,5,3
Cerrillos,2016-1,convenio_marco,Muebles y mobiliario,105448611,140,80
Cerrillos,2016-1,convenio_marco,"Muebles, accesorios, electrodomésticos y productos electrónicos",7916608,55,29
Cerrillos,2016-1,convenio_marco,Productos de papel,28553886,226,90
Cerrillos,2016-1,convenio_marco,Productos impresos y publicaciones,3392673,49,25
Cerrillos,2016-1,convenio_marco,Productos químicos industriales,1458610,23,15
Cerrillos,2016-1,convenio_marco,"Resinas, cauchos, espumas y elastómeros",7431880,3,3
Cerrillos,2016-1,convenio_marco,"Ropa, maletas y productos de aseo personal",32001435,45,22
Cerrillos,2016-1,convenio_marco,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",8859211,2,2
Cerrillos,2016-1,convenio_marco,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",92165584,33,27
Cerrillos,2016-1,convenio_marco,"Servicios de transporte, almacenaje y correo",61128971,7,7
Cerrillos,2016-1,convenio_marco,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",12235800,14,14
Cerrillos,2016-1,convenio_marco,"Servicios profesionales, administrativos y consultorías de gestión empresarial",17901270,18,18
Cerrillos,2016-1,convenio_marco,"Tecnologías de la información, telecomunicaciones y radiodifusión",671507,26,19
Cerrillos,2016-1,convenio_marco,,148375593,105,66
Cerrillos,2016-1,licitacion,"Alimentos, bebidas y tabaco",382850,21,3
Cerrillos,2016-1,licitacion,Artículos de fabricación y producción,541580,11,7
Cerrillos,2016-1,licitacion,Artículos eléctricos y de iluminación,247030,3,2
Cerrillos,2016-1,licitacion,"Artículos para estructuras, obras y construcciones",9310325,15,15
Cerrillos,2016-1,licitacion,Artículos para plantas y animales,11456500,12,4
Cerrillos,2016-1,licitacion,"Educación, formación, entrenamiento y capacitación",449780,1,1
Cerrillos,2016-1,licitacion,"Equipamiento para el acondicionamiento, distribución y filtrado de fluidos",913254,5,5
Cerrillos,2016-1,licitacion,Equipamiento para laboratorios,931937,9,6
Cerrillos,2016-1,licitacion,Equipamiento para manejo y estiba de materiales,1765681,9,6
Cerrillos,2016-1,licitacion,Equipamiento y suministros médicos,5606480,57,35
Cerrillos,2016-1,licitacion,"Equipos y suministros de defensa, orden público, protección y seguridad",303960,7,4
Cerrillos,2016-1,licitacion,Equipos y suministros de limpieza,167440,1,1
Cerrillos,2016-1,licitacion,"Equipos, accesorios y suministros de oficina",2159082,40,9
Cerrillos,2016-1,licitacion,"Equipos, suministros y accesorios deportivos y recreativos",1373724,8,5
Cerrillos,2016-1,licitacion,Herramientas y maquinaria en general,2494960,8,4
Cerrillos,2016-1,licitacion,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",1973656,28,7
Cerrillos,2016-1,licitacion,Maquinaria para fabricación y transformación industrial,2372496,4,2
Cerrillos,2016-1,licitacion,Maquinaria para generación y distribución de energía,341552,7,3
Cerrillos,2016-1,licitacion,Maquinaria para minería y perforación,13750,1,1
Cerrillos,2016-1,licitacion,Medicamentos y productos farmacéuticos,4898904,37,12
Cerrillos,2016-1,licitacion,Muebles y mobiliario,3144900,5,4
Cerrillos,2016-1,licitacion,"Muebles, accesorios, electrodomésticos y productos electrónicos",1177585,11,3
Cerrillos,2016-1,licitacion,"Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública",75362721,5,5
Cerrillos,2016-1,licitacion,Productos de papel,4925415,75,16
Cerrillos,2016-1,licitacion,"Productos derivados de minerales, plantas y animales",19550639,82,72
Cerrillos,2016-1,licitacion,Productos impresos y publicaciones,2651800,2,2
Cerrillos,2016-1,licitacion,Productos químicos industriales,100840,1,1
Cerrillos,2016-1,licitacion,"Resinas, cauchos, espumas y elastómeros",45940,3,2
Cerrillos,2016-1,licitacion,"Ropa, maletas y productos de aseo personal",3233040,21,10
Cerrillos,2016-1,licitacion,"Salud, servicios sanitarios y alimentación",2034691,5,3
Cerrillos,2016-1,licitacion,"Servicios agrícolas, pesqueros, forestales y relacionados con la fauna",9244,1,1
Cerrillos,2016-1,licitacion,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",2954000,1,1
Cerrillos,2016-1,licitacion,Servicios de construcción y mantenimiento,181373990,5,5
Cerrillos,2016-1,licitacion,Servicios de cuidado personal y domésticos,395008,1,1
Cerrillos,2016-1,licitacion,"Servicios de defensa nacional, orden público y seguridad",1705000,1,1
Cerrillos,2016-1,licitacion,Servicios de producción y fabricación industrial,6276440,1,1
Cerrillos,2016-1,licitacion,"Servicios de transporte, almacenaje y correo",97597042,8,8
Cerrillos,2016-1,licitacion,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",28539425,17,16
Cerrillos,2016-1,licitacion,"Servicios financieros, pensiones y seguros",13596757,3,3
Cerrillos,2016-1,licitacion,"Servicios profesionales, administrativos y consultorías de gestión empresarial",22802689,3,3
Cerrillos,2016-1,licitacion,"Tecnologías de la información, telecomunicaciones y radiodifusión",5781001,14,8
Cerrillos,2016-1,licitacion,Vehículos y equipamiento en general,2608800,12,12
Cerrillos,2016-1,trato_directo,Artículos de fabricación y producción,10000,1,1
Cerrillos,2016-1,trato_directo,Artículos eléctricos y de iluminación,147000,2,1
Cerrillos,2016-1,trato_directo,"Artículos para estructuras, obras y construcciones",91300,4,4
Cerrillos,2016-1,trato_directo,"Educación, formación, entrenamiento y capacitación",10084032,1,1
Cerrillos,2016-1,trato_directo,Equipamiento y suministros médicos,331920,1,1
Cerrillos,2016-1,trato_directo,"Equipos, accesorios y suministros de oficina",120000,1,1
Cerrillos,2016-1,trato_directo,"Equipos, suministros y accesorios deportivos y recreativos",50900,1,1
Cerrillos,2016-1,trato_directo,Maquinaria para fabricación y transformación industrial,110000,1,1
Cerrillos,2016-1,trato_directo,Maquinaria para generación y distribución de energía,471534,2,2
Cerrillos,2016-1,trato_directo,"Maquinarias, equipos y suministros para la industria de servicios",90000,1,1
Cerrillos,2016-1,trato_directo,Medicamentos y productos farmacéuticos,352941,1,1
Cerrillos,2016-1,trato_directo,"Muebles, accesorios, electrodomésticos y productos electrónicos",112000,1,1
Cerrillos,2016-1,trato_directo,Productos de papel,255000,1,1
Cerrillos,2016-1,trato_directo,Servicios básicos y de información pública,135520,1,1
Cerrillos,2016-1,trato_directo,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",3934000,3,3
Cerrillos,2016-1,trato_directo,"Servicios de transporte, almacenaje y correo",6245063,1,1
Cerrillos,2016-1,trato_directo,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",13910000,4,4
Cerrillos,2016-1,trato_directo,"Servicios profesionales, administrativos y consultorías de gestión empresarial",11813033,4,4
