municipalidad,anio_semestre,tipo_compra,TamanoProveedor,monto_neto_clp,n_items,n_ordenes,n_proveedores
Cerrillos,2022-1,compra_agil,Micro,32737003,201,53,44
Cerrillos,2022-1,compra_agil,NoClasificado,10512538,48,29,24
Cerrillos,2022-1,compra_agil,Pequeña,16940401,92,26,19
Cerrillos,2022-1,convenio_marco,Grande,82568409,24,7,5
Cerrillos,2022-1,convenio_marco,Mediana,12176220,3,3,2
Cerrillos,2022-1,convenio_marco,Pequeña,4847352,13,3,3
Cerrillos,2022-1,licitacion,Grande,90966331,35,17,15
Cerrillos,2022-1,licitacion,Mediana,1142626955,8,6,6
Cerrillos,2022-1,licitacion,Micro,104095522,40,22,21
Cerrillos,2022-1,licitacion,NoClasificado,7968200,9,3,3
Cerrillos,2022-1,licitacion,Pequeña,756004736,50,26,24
Cerrillos,2022-1,trato_directo,Grande,24187557,8,7,6
Cerrillos,2022-1,trato_directo,Mediana,42172869,5,5,4
Cerrillos,2022-1,trato_directo,Micro,389791911,10,9,9
Cerrillos,2022-1,trato_directo,Pequeña,142578599,32,10,9
Cerrillos,2022-2,convenio_marco,Grande,118598748,21,14,10
Cerrillos,2022-2,convenio_marco,Mediana,41920357,7,6,5
Cerrillos,2022-2,convenio_marco,Pequeña,1496000,1,1,1
Cerrillos,2022-2,licitacion,Grande,145440354,113,31,22
Cerrillos,2022-2,licitacion,Mediana,455766445,43,22,20
Cerrillos,2022-2,licitacion,Micro,170658673,62,27,21
Cerrillos,2022-2,licitacion,NoClasificado,36656613,27,19,16
Cerrillos,2022-2,licitacion,Pequeña,465367451,66,34,24
Cerrillos,2022-2,trato_directo,Grande,119652053,25,19,14
Cerrillos,2022-2,trato_directo,Mediana,702787717,12,10,9
Cerrillos,2022-2,trato_directo,Micro,146648366,19,19,12
Cerrillos,2022-2,trato_directo,NoClasificado,22826723,7,4,4
Cerrillos,2022-2,trato_directo,Pequeña,44326910,15,14,13
Cerrillos,2023-1,compra_agil,Grande,23097546,120,52,30
Cerrillos,2023-1,compra_agil,Mediana,14109863,39,31,25
Cerrillos,2023-1,compra_agil,Micro,26964258,106,51,37
Cerrillos,2023-1,compra_agil,NoClasificado,25719849,87,50,38
Cerrillos,2023-1,compra_agil,Pequeña,22320440,70,39,29
Cerrillos,2023-1,convenio_marco,Grande,269562013,37,18,12
Cerrillos,2023-1,convenio_marco,Mediana,23529927,17,5,5
Cerrillos,2023-1,convenio_marco,Micro,1867710,8,1,1
Cerrillos,2023-1,convenio_marco,NoClasificado,8438874,12,2,1
Cerrillos,2023-1,convenio_marco,Pequeña,45792760,29,7,5
Cerrillos,2023-1,licitacion,Grande,2321344188,31,20,15
Cerrillos,2023-1,licitacion,Mediana,243012459,12,12,12
Cerrillos,2023-1,licitacion,Micro,46050386,10,10,8
Cerrillos,2023-1,licitacion,NoClasificado,25969858,11,11,11
Cerrillos,2023-1,licitacion,Pequeña,424433260,32,20,14
Cerrillos,2023-1,trato_directo,Grande,390572738,26,24,12
Cerrillos,2023-1,trato_directo,Mediana,60377394,15,8,7
Cerrillos,2023-1,trato_directo,Micro,18762874,6,6,5
Cerrillos,2023-1,trato_directo,NoClasificado,846219361,2,2,2
Cerrillos,2023-1,trato_directo,Pequeña,26645655,13,12,8
Cerrillos,2023-2,compra_agil,Grande,31701204,150,73,32
Cerrillos,2023-2,compra_agil,Mediana,34871474,155,61,37
Cerrillos,2023-2,compra_agil,Micro,46754990,139,85,67
Cerrillos,2023-2,compra_agil,NoClasificado,23528287,77,37,30
Cerrillos,2023-2,compra_agil,Pequeña,90092139,232,165,121
Cerrillos,2023-2,convenio_marco,Grande,160879240,24,16,8
Cerrillos,2023-2,convenio_marco,Mediana,21556196,16,10,8
Cerrillos,2023-2,convenio_marco,Pequeña,8174828,9,9,2
Cerrillos,2023-2,licitacion,Grande,174090550,19,15,10
Cerrillos,2023-2,licitacion,Mediana,41796195,8,8,5
Cerrillos,2023-2,licitacion,Micro,252567635,30,29,24
Cerrillos,2023-2,licitacion,NoClasificado,6547900,3,3,3
Cerrillos,2023-2,licitacion,Pequeña,880578247,92,57,42
Cerrillos,2023-2,trato_directo,Grande,175243020,17,14,10
Cerrillos,2023-2,trato_directo,Mediana,210465435,3,3,3
Cerrillos,2023-2,trato_directo,NoClasificado,26890840,1,1,1
Cerrillos,2023-2,trato_directo,Pequeña,730910,4,3,3
Cerrillos,2024-1,compra_agil,Grande,30266536,84,60,29
Cerrillos,2024-1,compra_agil,Mediana,20778039,74,47,29
Cerrillos,2024-1,compra_agil,Micro,33388021,81,60,48
Cerrillos,2024-1,compra_agil,NoClasificado,29221330,70,40,32
Cerrillos,2024-1,compra_agil,Pequeña,84815859,243,130,94
Cerrillos,2024-1,convenio_marco,Grande,231752865,154,21,9
Cerrillos,2024-1,convenio_marco,Mediana,51487607,55,15,9
Cerrillos,2024-1,convenio_marco,Micro,7830900,5,2,2
Cerrillos,2024-1,convenio_marco,Pequeña,4800364,8,3,3
Cerrillos,2024-1,licitacion,Grande,2534395226,44,28,19
Cerrillos,2024-1,licitacion,Mediana,1167330526,37,22,21
Cerrillos,2024-1,licitacion,Micro,1027215496,13,11,10
Cerrillos,2024-1,licitacion,NoClasificado,100199568,11,8,8
Cerrillos,2024-1,licitacion,Pequeña,492472466,36,34,25
Cerrillos,2024-1,trato_directo,Grande,275841580,13,7,6
Cerrillos,2024-1,trato_directo,Mediana,393528908,3,3,2
Cerrillos,2024-1,trato_directo,Micro,1800000,1,1,1
Cerrillos,2024-1,trato_directo,Pequeña,195350438,6,6,6
Cerrillos,2024-2,compra_agil,1.0,31298710,114,66,31
Cerrillos,2024-2,compra_agil,2.0,39909576,78,62,38
Cerrillos,2024-2,compra_agil,3.0,68640210,130,104,67
Cerrillos,2024-2,compra_agil,4.0,141005798,235,185,109
Cerrillos,2024-2,compra_agil,NoClasificado,60357663,122,101,55
Cerrillos,2024-2,convenio_marco,1.0,275772622,31,9,6
Cerrillos,2024-2,convenio_marco,2.0,37121442,18,6,5
Cerrillos,2024-2,convenio_marco,3.0,9713600,1,1,1
Cerrillos,2024-2,convenio_marco,4.0,22329209,4,2,2
Cerrillos,2024-2,licitacion,1.0,1175971042,54,25,19
Cerrillos,2024-2,licitacion,2.0,1126182133,27,18,16
Cerrillos,2024-2,licitacion,3.0,279082547,25,23,20
Cerrillos,2024-2,licitacion,4.0,2078517355,97,73,49
Cerrillos,2024-2,licitacion,NoClasificado,3494361378,30,24,21
Cerrillos,2024-2,trato_directo,1.0,2511860,3,3,2
Cerrillos,2024-2,trato_directo,2.0,4876303,4,4,3
Cerrillos,2024-2,trato_directo,3.0,12175000,2,2,2
